LAT,LON,YEAR,DOY,T2M,T2MDEW,T2MWET,TS,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_RANGE,WD10M,WS50M,WS50M_RANGE,WD50M,T2M_RANGE
-33.75,21.25,2023,1,23.43,12.73,18.08,26.7,9.77,60.69,0.11,95.77,4.39,6.61,102.88,4.93,6.75,99.19,20.82
-33.75,21.75,2023,1,23.21,12.93,18.07,26.2,9.89,61.96,0.09,96.13,4.12,6.04,106.85,4.67,6.43,105.11,19.13
-33.25,16.75,2023,1,19.31,17.61,18.46,18.65,12.45,89.78,0.01,101.29,11.81,1.93,162.56,14.07,2.3,161.86,0.8
-33.25,17.25,2023,1,18.15,16.65,17.4,16.93,11.73,90.88,0.01,101.2,11.18,3.33,165.45,13.75,3.89,164.82,0.91
-33.25,17.75,2023,1,19.02,14.93,16.98,17.79,10.62,79.8,0.02,100.94,8.91,5.27,167.14,11.52,6.62,165.79,3.88
-33.25,18.25,2023,1,22.89,12.53,17.71,22.57,9.27,57.38,0.01,100.18,5.79,6.42,164.58,7.98,8.75,162.85,10.61
-33.25,18.75,2023,1,29.04,9.68,19.36,30.6,7.87,37.16,0,98.43,4.47,4.62,154.25,5.84,6.9,155.5,20.15
-33.25,19.25,2023,1,26.09,8.62,17.35,28.3,7.75,43.13,0,93.43,4.28,4,150.68,5.42,5.03,151.18,22.31
-33.25,19.75,2023,1,25.16,8.57,16.86,27.71,7.85,46.2,0,92.07,4.26,4.81,145.69,5.42,5.89,150.86,22.95
-33.25,20.25,2023,1,24.77,8.78,16.77,27.56,7.98,47.82,0.01,91.78,4.3,5.47,134.39,5.47,6.94,141.82,22.82
-33.25,20.75,2023,1,24.4,9.09,16.74,27.45,8.14,49.22,0.02,91.74,4.18,5.72,118.59,5.17,7.43,123.39,22.7
-33.25,21.25,2023,1,24.49,10.02,17.26,27.9,8.48,51.34,0.03,92.89,3.56,6.57,106.84,4.13,8.4,106.97,23.38
-33.25,21.75,2023,1,25.03,10.36,17.69,28.31,8.53,50.42,0.03,94.17,3.64,6.47,113.84,4.39,8.19,113.82,22.5
-32.75,16.75,2023,1,18.91,17.55,18.23,18.32,12.4,91.69,0.01,101.21,11.02,2.26,169.04,13.08,2.79,168.51,0.71
-32.75,17.25,2023,1,17.71,16.42,17.06,16.74,11.56,92.04,0.02,101.13,9.99,3.61,172.1,12.29,4.41,171.6,1.01
-32.75,17.75,2023,1,18.97,14.38,16.68,17.95,10.28,78.05,0.02,100.85,7.36,4.97,173.22,9.59,6.72,171.86,4
-32.75,18.25,2023,1,23.47,11.42,17.45,23.24,8.68,51.84,0.01,99.89,4.28,5.25,171.59,6.03,8.02,168.15,10.57
-32.75,18.75,2023,1,29.78,7.59,18.69,31.5,6.9,30.69,0,97.48,4.09,3.03,167.84,5.4,5.21,161.25,20.08
-32.75,19.25,2023,1,27.15,6.69,16.92,29.41,6.82,35.39,0,93.22,4.25,3,163.89,5.67,4.49,162.78,21.78
-32.75,19.75,2023,1,27.29,6.82,17.06,29.81,6.92,35.59,0,92.78,4.38,3.43,162.16,5.91,5.17,162.48,22.09
-32.75,20.25,2023,1,26.65,6.83,16.74,29.36,6.99,36.42,0,91.55,4.6,3.95,156.81,6.2,5.7,160.03,21.58
-32.75,20.75,2023,1,24.83,6.85,15.84,27.83,7.15,39.86,0,89.28,4.58,4.42,147.09,6.06,5.98,153.51,21.32
-32.75,21.25,2023,1,24.6,8.35,16.48,28.09,7.78,44.69,0,90.15,3.5,4.89,137.34,4.46,7.41,139.41,22.89
-32.75,21.75,2023,1,26.27,8.99,17.63,29.76,7.83,41.34,0,92.82,3.49,5.43,132.74,4.56,8.08,133.76,22.54
-32.25,16.75,2023,1,18.61,17.5,18.05,18.1,12.38,93.13,0.01,101.15,9.98,2.22,174.74,11.9,2.97,174.24,0.75
-32.25,17.25,2023,1,17.46,16.29,16.87,16.65,11.49,92.81,0.01,101.08,8.69,3.46,177.6,10.75,4.34,177.22,0.83
-32.25,17.75,2023,1,18.55,13.99,16.27,17.46,10.06,78.32,0.01,100.82,6.17,4.57,174.58,8.09,6.01,173.34,3.74
-32.25,18.25,2023,1,22.83,10.55,16.69,22.12,8.23,51.44,0.01,99.81,3.56,4.87,169.02,5.05,7.05,165.52,10.47
-32.25,18.75,2023,1,29.45,6.18,17.81,30.75,6.23,28.06,0,97.2,3.91,4.01,173,5.13,6.09,166,20.18
-32.25,19.25,2023,1,28.95,5.37,17.16,30.99,6.05,28.29,0,94.76,4.34,3.45,166.38,6,5.29,165.1,21.59
-32.25,19.75,2023,1,28.68,5.58,17.13,31.08,6.23,28.57,0,93.29,4.64,3.62,160.5,6.44,5.61,160.69,21.26
-32.25,20.25,2023,1,27.1,5.89,16.49,29.72,6.51,30.98,0,90.72,4.92,4.03,158.89,6.74,5.6,159.06,20.38
-32.25,20.75,2023,1,24.78,6.19,15.48,27.66,6.84,35.29,0,87.71,4.98,4.28,162.71,6.71,5.17,162.79,20.05
-32.25,21.25,2023,1,24.42,7.24,15.83,27.71,7.32,38.94,0,87.65,4.25,4.13,170.78,5.7,5.59,170.81,21.32
-32.25,21.75,2023,1,25.8,7.74,16.78,29.22,7.42,36.26,0,89.37,3.58,4.07,160.91,4.84,5.76,162.31,21.68
-31.75,16.75,2023,1,18.47,17.52,17.99,18.11,12.41,94.12,0.02,101.11,8.92,1.87,178.86,10.62,2.38,178.38,0.75
-31.75,17.25,2023,1,17.4,16.33,16.86,16.91,11.53,93.44,0.02,101.04,7.42,2.77,181.64,9.06,3.26,181.36,0.91
-31.75,17.75,2023,1,18.64,13.81,16.22,18.14,10,78.38,0.01,100.67,5.22,4.24,179.32,6.64,5.1,173.78,5.35
-31.75,18.25,2023,1,23.01,9.96,16.49,22.99,7.97,50.78,0.01,99.62,3.29,5.56,172.39,4.48,7.13,161.61,13.71
-31.75,18.75,2023,1,29.6,5.49,17.55,31.15,5.92,26.78,0,97.44,4,5.5,165.97,5.32,7.71,166.56,21.05
-31.75,19.25,2023,1,29.56,4.26,16.91,31.54,5.55,23.86,0,94.62,4.8,4.79,162.97,6.61,6.71,163.19,20.49
-31.75,19.75,2023,1,28.2,4.58,16.39,30.5,5.83,25.9,0,91.87,4.94,4.41,163.53,6.94,6.15,163.62,20.07
-31.75,20.25,2023,1,26.73,5.26,15.99,29.35,6.24,28.98,0,89.59,4.99,4.4,168.33,6.97,5.74,168.33,19.73
-31.75,20.75,2023,1,25.87,5.72,15.79,28.83,6.56,30.94,0,88.1,5.09,4.76,177.58,6.94,5.45,177.45,19.6
-31.75,21.25,2023,1,25.88,6.08,15.98,29.13,6.77,31.44,0,87.69,5.01,5.47,191.03,6.65,5.55,190.75,20.02
-31.75,21.75,2023,1,25.9,6.77,16.34,29.17,7.12,32.29,0,87.38,4.18,5.38,183.08,5.5,6.03,183.32,19.75
-35.25,16.75,2023,2,20.12,17.82,18.97,20.19,12.62,86.51,0.22,101.29,9.07,2.48,133.94,10.36,3.01,133.3,0.45
-35.25,17.25,2023,2,20.21,18.04,19.12,20.2,12.79,87.18,0.25,101.25,9.41,2.39,128.73,10.82,2.92,127.98,0.6
-35.25,17.75,2023,2,20.3,18.25,19.27,20.22,12.98,87.89,0.23,101.23,9.72,2.28,123.08,11.23,2.7,122.29,0.67
-35.25,18.25,2023,2,20.37,18.43,19.4,20.23,13.14,88.54,0.17,101.21,9.85,2.36,117.19,11.45,2.63,116.46,0.61
-35.25,18.75,2023,2,20.44,18.51,19.48,20.19,13.21,88.59,0.11,101.2,9.67,3.01,110.94,11.34,3.39,110.31,0.52
-35.25,19.25,2023,2,20.53,18.57,19.55,20.22,13.24,88.44,0.1,101.21,9.3,2.88,104.79,11.04,3.1,104.19,0.63
-35.25,19.75,2023,2,20.88,18.72,19.8,20.84,13.37,87.43,0.11,101.21,8.92,2.5,101.13,10.53,2.6,100.46,0.93
-35.25,20.25,2023,2,21.13,18.94,20.03,21.25,13.57,87.26,0.1,101.22,8.72,1.88,99.96,10.15,1.88,99.25,0.9
-35.25,20.75,2023,2,21.21,19.16,20.19,21.28,13.76,88.02,0.07,101.25,8.67,1.25,100.51,9.97,1.21,99.8,0.56
-35.25,21.25,2023,2,21.3,19.3,20.3,21.32,13.85,88.25,0.08,101.26,8.55,0.96,101.31,9.84,1.1,100.5,0.55
-35.25,21.75,2023,2,21.34,19.44,20.39,21.28,13.98,88.8,0.07,101.27,8.27,0.86,102.99,9.54,1.13,102.25,0.63
-34.75,16.75,2023,2,20.19,18.32,19.25,20.16,13.03,88.92,0.19,101.19,9.75,2.65,140.92,11.23,3.24,140.19,0.62
-34.75,17.25,2023,2,20.17,18.46,19.31,19.93,13.15,89.82,0.2,101.15,10.16,2.52,136.09,11.88,3.18,135.34,0.85
-34.75,17.75,2023,2,20.08,18.47,19.27,19.62,13.17,90.38,0.16,101.1,10.43,2.43,130.57,12.42,2.96,129.84,0.87
-34.75,18.25,2023,2,20.16,18.34,19.25,19.53,13.1,89.37,0.08,100.98,10.28,2.59,124.11,12.46,2.91,123.34,1.2
-34.75,18.75,2023,2,20.84,18.02,19.43,20.21,12.88,84.59,0.07,100.65,9.38,3.26,115.41,11.5,3.73,114.47,3.07
-34.75,19.25,2023,2,21.19,17.94,19.56,20.86,12.83,82.99,0.19,100.4,8.55,3.66,106.88,10.74,3.93,105.62,4.86
-34.75,19.75,2023,2,21.78,18.23,20,22.31,13.07,81.62,0.22,100.35,8.2,3.8,102.97,10.07,3.62,101.53,5.8
-34.75,20.25,2023,2,22,18.7,20.35,22.98,13.45,82.59,0.19,100.53,8.23,3.63,102.12,9.73,3.37,100.76,4.87
-34.75,20.75,2023,2,21.77,19.16,20.46,22.65,13.81,85.51,0.15,100.81,8.41,3.37,102.82,9.72,3.39,101.7,2.78
-34.75,21.25,2023,2,21.58,19.39,20.48,22.4,13.98,87.44,0.12,100.92,8.48,3.46,103.59,9.83,3.6,102.62,1.88
-34.75,21.75,2023,2,21.52,19.51,20.52,22.25,14.1,88.36,0.12,100.96,8.23,2.67,107.39,9.55,2.94,106.25,1.5
-34.25,16.75,2023,2,20.13,18.64,19.38,19.97,13.32,91.02,0.13,101.1,10.06,3.18,149.23,11.69,4.04,148.46,0.84
-34.25,17.25,2023,2,19.6,18.34,18.97,18.98,13.07,92.41,0.1,101.03,10.1,3.27,146.38,12.19,4,145.8,0.93
-34.25,17.75,2023,2,19.46,17.51,18.48,18.26,12.45,89.07,0.06,100.92,9.3,3.77,142.28,11.86,4.62,141.48,1.83
-34.25,18.25,2023,2,20.49,16.43,18.45,19.12,11.73,79.89,0.03,100.5,7.81,4.65,137.38,10.42,5.86,136.23,4.68
-34.25,18.75,2023,2,23.36,15.8,19.58,23.03,11.41,67.69,0.06,99.3,6.45,5.35,133.41,8.25,6.6,133.03,10.75
-34.25,19.25,2023,2,23.82,15.85,19.84,24.75,11.58,67.26,0.22,98.01,5.89,5.09,118.96,7.48,5.84,121.46,14.5
-34.25,19.75,2023,2,24.19,16.38,20.29,26.04,11.98,67.78,0.25,97.99,5.93,5.24,109.57,7.23,5.24,109.11,15.83
-34.25,20.25,2023,2,24.06,17.02,20.54,26.43,12.41,70.01,0.24,98.37,6.16,5.45,105.42,7.2,5.05,102.58,14.36
-34.25,20.75,2023,2,23.51,17.56,20.53,26.08,12.79,73.47,0.24,98.7,6.34,5.78,105.46,7.21,5.4,102.72,11.45
-34.25,21.25,2023,2,23.13,17.95,20.54,25.71,13.06,76.38,0.29,99.01,6.34,6.65,107.44,7.27,6.36,104.75,10.22
-34.25,21.75,2023,2,22.79,18.2,20.49,25.03,13.26,78.62,0.27,99.19,6.15,5.8,113.66,7.11,6.04,110.88,8.85
-33.75,16.75,2023,2,19.76,18.59,19.18,19.36,13.29,92.9,0.1,101.01,9.55,4.44,157.94,11.4,5.45,157.32,0.92
