LAT,LON,YEAR,DOY,T2M,TS,T2M_RANGE,QV2M,RH2M,PRECTOTCORR,PS,WS10M,WS10M_MAX,WS10M_MIN,WS10M_RANGE,WD10M,WS50M,WS50M_MAX,WS50M_MIN,WS50M_RANGE,WD50M
-29.25,32.25,2021,1,24.77,26.18,4.08,15.86,80.96,36.59,101.48,11.32,15.65,2.39,13.26,201.14,13.19,18.41,3.03,15.38,200.92
-29.25,32.75,2021,1,25.23,26.83,3.75,16.39,81.42,48.29,101.51,11.63,16.12,3.85,12.27,202.09,13.36,18.76,4.56,14.19,201.93
-29.25,33.25,2021,1,25.56,27.24,3.77,16.82,81.85,48.56,101.47,11.56,16.08,4.49,11.58,198.24,13.23,18.67,5.13,13.54,198.06
-28.75,29.75,2021,1,17.72,18.08,9.31,12.82,86.54,32.12,86.65,5.11,7.91,1.4,6.51,132.32,6.48,9.66,2.21,7.45,133.16
-28.75,30.25,2021,1,18.11,18.54,9.28,12.8,86.64,33.08,89.14,5.6,8.52,1.5,7.01,141.59,7.22,10.49,2.7,7.8,142.39
-28.75,30.75,2021,1,18.47,18.92,9.05,12.9,87.22,33.43,91.25,5.98,9.27,1.46,7.81,157.88,7.86,11.59,2.74,8.85,158.78
-28.75,31.25,2021,1,20.26,20.71,8.39,13.58,85.47,29.63,94.94,7.33,10.85,1.62,9.23,183.62,9.61,13.76,2.51,11.25,183.88
-28.75,31.75,2021,1,23.03,23.54,6.7,14.75,81.82,30.47,99.32,8.78,12.86,1.31,11.55,196.38,11.32,16.03,2.39,13.64,195.68
-28.75,32.25,2021,1,24.55,25.49,4.94,15.81,81.39,34.85,101.02,10.5,14.67,2.2,12.48,198.1,12.64,17.48,3.16,14.31,197.63
-28.75,32.75,2021,1,25.36,26.69,3.85,16.68,82.14,38.3,101.43,11.36,15.38,3.26,12.11,193.22,13.11,17.78,4.02,13.76,193.07
-28.75,33.25,2021,1,25.82,27.34,3.58,17.29,82.8,36.04,101.44,11.3,15.12,4.26,10.86,185.62,12.93,17.36,4.92,12.43,185.44
-28.25,29.75,2021,1,18.63,19.19,11.58,13.14,83.99,37.21,86.75,5.37,9.01,0.6,8.41,143.66,6.89,11.09,1.08,10.01,142.79
-28.25,30.25,2021,1,18.94,19.57,11.05,13.1,83.69,34.03,88.48,5.62,8.8,0.91,7.89,150.33,7.17,10.66,1.79,8.87,150.43
-28.25,30.75,2021,1,18.9,19.51,10.29,13.04,84.56,32.6,89.72,6.18,9.53,1.12,8.41,163.33,7.89,11.6,2.19,9.41,163.85
-28.25,31.25,2021,1,20.08,20.69,9.79,13.46,84.06,24.64,92.77,7.07,10.56,0.8,9.76,185.41,9.13,13.18,1.49,11.69,185.88
-28.25,31.75,2021,1,22.22,22.53,7.84,14.46,82.74,23.56,97.41,7.91,11.91,1.32,10.59,199.21,10.51,14.95,2.69,12.27,199.02
-28.25,32.25,2021,1,24.13,24.79,5.67,15.64,81.77,20.95,100.11,9.62,13.6,1.92,11.69,191.52,11.9,16.31,3.1,13.21,195.71
-28.25,32.75,2021,1,25.41,26.52,4.09,16.83,82.38,18.33,101.25,10.85,14.66,2.95,11.71,178.31,12.69,16.93,3.81,13.12,182.54
-28.25,33.25,2021,1,26.03,27.37,3.4,17.73,83.85,15.47,101.41,11.23,14.91,4.47,10.44,170.85,12.88,16.97,5.24,11.73,170.59
-27.75,29.75,2021,1,18.37,19.18,14.59,12.68,80.99,26.23,84.43,5.39,10.26,0.89,9.37,163.68,7.09,12.87,1.27,11.6,162.13
-27.75,30.25,2021,1,18.86,19.67,13.88,12.82,80.77,20.17,86.32,5.53,9.3,1.24,8.06,167.69,7.22,11.49,1.98,9.51,167.23
-27.75,30.75,2021,1,19.43,20.13,12.31,13.06,81.06,17.78,88.51,5.75,9.13,1.44,7.7,173.76,7.42,11.25,2.4,8.85,174.01
-27.75,31.25,2021,1,20.74,21.38,10.83,13.43,80.03,13.5,92.08,6.62,10.3,1.4,8.9,183.94,8.53,12.97,2.51,10.46,184.56
-27.75,31.75,2021,1,22.57,23.09,9.13,14.36,80.03,12.29,96.45,7.39,11.64,1.41,10.24,202.79,9.71,14.44,2.59,11.85,203.29
-27.75,32.25,2021,1,24.45,25.14,7.23,15.5,79.26,9.5,99.49,8.75,13.24,1.87,11.37,186.91,11.08,16.06,2.89,13.17,195.95
-27.75,32.75,2021,1,25.72,26.69,4.97,16.88,81.05,7.06,101.03,10.26,14.62,3.12,11.5,171.1,12.31,17.2,4.03,13.17,179.85
-27.75,33.25,2021,1,26.31,27.47,3.1,18.09,84.28,5.5,101.38,11.42,15.46,4.91,10.56,168.8,13.12,17.68,5.83,11.86,168.54
-27.25,29.75,2021,1,18.98,20.05,16.15,12.31,76.49,13,83.46,5.2,10.71,0.78,9.93,169.06,6.89,13.61,0.85,12.76,168.08
-27.25,30.25,2021,1,19.21,20.15,15.88,12.46,76.89,10.11,84.88,5.09,9.3,0.96,8.33,170.73,6.85,11.84,1.18,10.66,169.88
-27.25,30.75,2021,1,20.36,21.13,14.4,12.89,75.92,9.44,87.96,4.84,8.17,1.34,6.83,175.31,6.61,10.39,1.9,8.49,175.13
-27.25,31.25,2021,1,22.07,22.93,12.73,13.31,73.5,8.24,91.98,5.88,9.95,1.32,8.63,187.19,7.69,12.59,1.95,10.64,187.16
-27.25,31.75,2021,1,24.46,25.47,12,14.38,72.38,7.54,96.78,7.05,12.03,1.11,10.92,209.36,9.12,14.73,1.77,12.97,209.48
-27.25,32.25,2021,1,25.79,26.71,10.57,15.45,73.52,6.1,99.52,7.97,13.45,1.78,11.68,190.12,10.3,16.51,2.46,14.06,194.72
-27.25,32.75,2021,1,26.37,27.22,6.99,16.91,78.42,5.17,100.87,9.51,14.76,2.7,12.06,170.77,11.69,17.67,3.55,14.11,175.22
-27.25,33.25,2021,1,26.58,27.47,2.88,18.34,84.22,4.61,101.35,11.22,15.8,3.77,12.03,166.89,12.95,18.12,4.8,13.32,166.66
-26.75,29.75,2021,1,20.42,21.86,17.22,12.19,71.04,8.49,83.57,5.21,10.54,1.11,9.43,156.21,6.88,13.54,1.35,12.19,155.77
-26.75,30.25,2021,1,20.29,21.47,17.1,12.28,72.2,6.84,84.47,4.67,8.56,0.96,7.6,165.54,6.42,11.36,1.22,10.14,165.16
-26.75,30.75,2021,1,21.24,22.1,16.36,12.64,71.53,7.45,87.3,3.89,6.78,1.04,5.75,177.04,5.78,9.25,1.4,7.85,176.96
-26.75,31.25,2021,1,23.52,24.71,16.18,13.28,68.38,7.99,91.99,5.34,9.68,1.29,8.39,195.84,7.11,12,1.91,10.1,195.31
-26.75,31.75,2021,1,25.98,27.28,15.72,14.52,67.65,7.21,96.85,6.79,12.09,1.55,10.55,204.74,8.78,14.92,2.04,12.89,204.26
-26.75,32.25,2021,1,26.95,28.01,13.92,15.62,70.15,6.32,99.51,7.12,12.81,1.72,11.09,183.34,9.38,16.07,2.03,14.04,183.1
-26.75,32.75,2021,1,27.02,27.76,8.85,17.06,76.65,5.43,100.8,8.43,14,1.66,12.35,164.07,10.55,16.98,2.14,14.84,163.86
-26.75,33.25,2021,1,26.81,27.37,2.86,18.5,83.86,4.41,101.31,10.46,15.64,1.83,13.8,160.1,12.13,17.89,2.63,15.26,159.74
-26.25,29.75,2021,1,21.25,22.91,17.68,12.26,68.64,8.3,83.62,5.32,10.45,1.71,8.74,103.61,6.98,13.54,2.68,10.86,103.96
-26.25,30.25,2021,1,20.99,22.47,17.89,12.35,70.36,5.49,84.34,4.85,8.65,1.41,7.24,114.22,6.48,11.35,2.21,9.14,114.52
-26.25,30.75,2021,1,21.85,23.02,17.65,12.78,70.6,6.27,87.06,4.01,7.12,1.18,5.94,134.64,5.69,9.43,1.93,7.5,134.84
-26.25,31.25,2021,1,24.28,25.56,17.79,13.61,67.88,7.45,92,4.9,9.04,1.39,7.65,192.31,6.71,11.46,2.91,8.55,191.94
-26.25,31.75,2021,1,26.68,28.05,17.78,14.78,66.85,7.29,96.63,6.55,11.77,2.09,9.68,183.69,8.6,14.75,3.24,11.5,182.96
-26.25,32.25,2021,1,27.69,28.83,15.35,15.97,69.28,6.06,99.41,6.82,12.45,1.93,10.51,163.02,9.02,15.69,2.31,13.38,166.79
-26.25,32.75,2021,1,27.62,28.28,9.62,17.32,75.55,4.65,100.8,7.88,13.68,1.54,12.14,145.36,9.94,16.6,1.69,14.91,149.2
-26.25,33.25,2021,1,27.1,27.36,3.21,18.54,82.79,3.51,101.26,9.66,15.48,1.36,14.13,137.91,11.37,17.79,1.8,15.99,137.36
-31.25,29.75,2021,2,18.87,20.23,5.46,10.4,75.05,0.42,97.77,5.33,8.55,2.05,6.49,72.88,6.46,10.1,2.82,7.28,71.26
-31.25,30.25,2021,2,20.94,23.1,2.53,11,71.51,0.3,100.84,6.34,9.97,3.38,6.59,81.13,7.21,11.55,3.79,7.75,80.28
-31.25,30.75,2021,2,22.27,25.19,1.51,11.33,68.78,0.17,102.44,6.81,10.65,4.45,6.2,88.35,7.3,11.89,4.57,7.31,87.84
-31.25,31.25,2021,2,21.98,24.9,1.45,11.11,68.66,0.02,102.48,6.34,9.6,4.15,5.45,95.25,6.75,10.61,4.3,6.31,94.72
-31.25,31.75,2021,2,21.81,24.63,1.2,10.96,68.61,0.03,102.5,6.13,8.55,4.33,4.22,102.45,6.51,9.37,4.49,4.88,101.87
-31.25,32.25,2021,2,21.71,24.59,1.09,10.93,68.88,0.04,102.51,6.1,8.23,4.28,3.95,109.07,6.48,8.91,4.45,4.46,108.48
-31.25,32.75,2021,2,21.67,24.76,1.08,10.97,69.38,0.04,102.51,6.23,8.49,4.23,4.26,115.37,6.61,9.14,4.39,4.76,114.76
-31.25,33.25,2021,2,21.69,25.06,1.11,11.08,69.95,0.04,102.51,6.47,9.05,4.27,4.78,121.14,6.86,9.78,4.42,5.37,120.52
-30.75,29.75,2021,2,16.02,16.76,7.16,9.74,80.5,0.89,93.21,3.78,6.29,1.26,5.03,75.99,4.87,7.56,2.01,5.55,74.01
