iter	Passed	Remaining
360	16904	29921
361	16949	29872
362	16999	29831
363	17050	29791
364	17100	29749
365	17142	29695
366	17189	29647
367	17234	29599
368	17278	29547
369	17322	29495
370	17369	29448
371	17408	29388
372	17456	29343
373	17502	29294
374	17553	29255
375	17616	29235
376	17675	29208
377	17720	29159
378	17766	29110
379	17806	29053
380	17851	29002
381	17895	28951
382	17934	28892
383	17981	28845
384	18023	28790
385	18066	28738
386	18112	28689
387	18149	28627
388	18194	28578
389	18236	28524
390	18277	28468
391	18321	28416
392	18365	28366
393	18411	28317
394	18449	28257
395	18491	28204
396	18531	28146
397	18575	28097
398	18613	28036
399	18661	27992
400	18711	27950
401	18749	27891
402	18791	27838
403	18839	27793
404	18880	27738
405	18921	27683
406	18963	27630
407	19008	27581
408	19048	27524
409	19089	27470
410	19130	27415
411	19180	27373
412	19221	27319
413	19260	27262
414	19307	27217
415	19349	27163
416	19407	27133
417	19451	27083
418	19493	27030
419	19538	26981
420	19579	26926
421	19626	26881
422	19670	26831
423	19713	26780
424	19758	26732
425	19803	26683
426	19839	26623
427	19879	26567
428	19919	26512
429	19959	26457
430	20002	26407
431	20048	26360
432	20089	26306
433	20132	26255
434	20176	26206
435	20221	26157
436	20258	26099
437	20302	26050
438	20341	25994
439	20384	25943
440	20422	25886
441	20460	25830
442	20501	25776
443	20539	25720
444	20583	25672
445	20622	25615
446	20663	25563
447	20706	25513
448	20751	25465
449	20795	25416
450	20841	25370
451	20891	25329
452	20936	25281
453	20980	25232
454	21027	25186
455	21067	25132
456	21116	25089
457	21159	25040
458	21203	24991
459	21255	24951
460	21303	24907
461	21353	24866
462	21401	24821
463	21447	24775
464	21496	24732
465	21542	24686
466	21600	24652
467	21668	24631
468	21728	24600
469	21777	24558
470	21817	24504
471	21859	24453
472	21901	24401
473	21939	24346
474	21981	24295
475	22020	24241
476	22062	24190
477	22101	24135
478	22141	24082
479	22179	24027
480	22216	23972
481	22255	23918
482	22294	23863
483	22333	23810
484	22377	23761
485	22421	23712
486	22465	23665
487	22504	23611
488	22548	23562
489	22592	23514
490	22632	23462
491	22675	23413
492	22713	23358
493	22749	23301
494	22792	23252
495	22838	23206
496	22880	23157
497	22927	23111
498	22973	23065
499	23013	23013
500	23055	22963
501	23096	22912
502	23139	22863
503	23189	22821
504	23224	22764
505	23266	22714
506	23308	22664
507	23350	22614
508	23392	22565
509	23431	22512
510	23476	22466
511	23519	22417
512	23561	22367
513	23600	22314
514	23643	22266
515	23688	22219
516	23730	22169
517	23771	22119
518	23812	22069
519	23858	22023
520	23904	21977
521	23952	21933
522	23989	21879
523	24026	21825
524	24070	21778
525	24112	21728
526	24154	21679
527	24197	21630
528	24235	21578
529	24280	21531
530	24324	21484
531	24368	21437
532	24410	21387
533	24454	21340
534	24500	21295
535	24545	21248
536	24593	21204
537	24637	21157
538	24685	21113
539	24733	21069
540	24776	21020
541	24819	20973
542	24859	20922
543	24904	20876
544	24947	20827
545	24986	20775
546	25033	20731
547	25075	20683
548	25115	20632
549	25157	20583
550	25203	20537
551	25251	20493
552	25290	20442
553	25333	20395
554	25369	20341
555	25414	20294
556	25453	20243
557	25497	20196
558	25534	20144
559	25578	20097
560	25620	20048
561	25663	20001
562	25703	19951
563	25744	19901
564	25786	19852
565	25831	19807
566	25869	19756
567	25909	19705
568	25950	19656
569	25993	19608
570	26032	19558
571	26068	19505
572	26109	19456
573	26150	19407
574	26192	19359
575	26227	19306
576	26264	19254
577	26307	19207
578	26342	19154
579	26383	19105
580	26425	19057
581	26468	19010
582	26512	18963
583	26554	18915
584	26596	18867
585	26642	18822
586	26689	18777
587	26733	18731
588	26771	18680
589	26812	18632
590	26851	18582
591	26898	18538
592	26943	18492
593	26987	18445
594	27023	18394
595	27071	18350
596	27115	18304
597	27156	18255
598	27207	18214
599	27249	18166
600	27291	18118
601	27358	18087
602	27423	18054
603	27470	18010
604	27515	17964
605	27559	17917
606	27602	17871
607	27646	17824
608	27689	17777
609	27734	17732
610	27783	17688
611	27832	17645
612	27872	17596
613	27918	17551
614	27964	17506
615	28004	17457
616	28052	17413
617	28093	17364
618	28132	17316
619	28173	17267
620	28216	17220
621	28252	17169
622	28293	17121
623	28333	17072
624	28376	17025
625	28417	16978
626	28459	16930
627	28503	16884
628	28546	16837
629	28590	16791
630	28635	16745
631	28683	16701
632	28731	16657
633	28773	16610
634	28821	16566
635	28865	16520
636	28910	16474
637	28951	16426
638	28997	16382
639	29039	16334
640	29080	16287
641	29130	16244
642	29177	16199
643	29217	16151
644	29260	16104
645	29302	16057
646	29345	16010
647	29392	15966
648	29440	15922
649	29485	15876
650	29532	15832
651	29577	15786
652	29618	15739
653	29664	15693
654	29707	15647
655	29751	15601
656	29792	15553
657	29830	15504
658	29878	15460
659	29925	15416
660	29966	15368
661	30012	15323
662	30056	15277
663	30098	15230
664	30142	15184
665	30184	15137
666	30227	15090
667	30265	15042
668	30306	14994
669	30345	14946
670	30381	14896
671	30418	14847
672	30458	14799
673	30500	14752
674	30538	14703
675	30579	14656
676	30619	14608
677	30660	14561
678	30702	14514
679	30743	14467
680	30791	14423
681	30837	14378
682	30881	14332
683	30924	14286
684	30965	14239
685	31006	14192
686	31050	14146
687	31092	14100
688	31132	14052
689	31177	14007
690	31219	13960
691	31259	13913
692	31298	13865
693	31338	13818
694	31380	13771
695	31421	13724
696	31465	13678
697	31502	13629
698	31547	13584
699	31589	13538
700	31629	13491
701	31674	13446
702	31717	13399
703	31758	13352
704	31806	13309
705	31848	13262
706	31890	13216
707	31933	13170
708	31981	13126
709	32027	13081
710	32064	13033
711	32105	12986
712	32147	12940
713	32188	12893
714	32230	12847
715	32268	12799
716	32309	12752
717	32348	12705
718	32390	12658
719	32435	12613
720	32477	12567
721	32519	12521
722	32562	12475
723	32599	12427
724	32646	12383
725	32688	12336
726	32747	12297
727	32809	12258
728	32855	12213
729	32899	12168
730	32944	12123
731	32989	12078
732	33029	12031
733	33073	11985
734	33116	11939
735	33161	11894
736	33203	11848
737	33248	11803
738	33292	11758
739	33332	11711
740	33387	11669
741	33438	11626
742	33496	11586
743	33543	11541
744	33588	11496
745	33629	11450
746	33672	11404
747	33713	11357
748	33757	11312
749	33799	11266
750	33843	11221
751	33885	11174
752	33927	11128
753	33971	11083
754	34013	11037
755	34055	10991
756	34095	10944
757	34140	10899
758	34181	10853
759	34224	10807
760	34266	10761
761	34307	10715
762	34347	10668
763	34388	10622
764	34425	10575
765	34468	10529
766	34509	10483
767	34546	10436
768	34589	10390
769	34631	10344
770	34675	10299
771	34722	10254
772	34769	10210
773	34808	10163
774	34850	10117
775	34892	10071
776	34940	10027
777	34987	9983
778	35031	9938
779	35070	9891
780	35115	9846
781	35157	9800
782	35202	9756
783	35245	9710
784	35286	9664
785	35332	9619
786	35372	9573
787	35409	9526
788	35450	9480
789	35494	9435
790	35535	9389
791	35581	9344
792	35617	9297
793	35659	9251
794	35700	9205
795	35745	9160
796	35796	9117
797	35846	9073
798	35884	9027
799	35931	8982
800	35971	8936
801	36014	8891
802	36048	8843
803	36093	8798
804	36136	8753
805	36183	8709
806	36226	8663
807	36265	8617
808	36309	8572
809	36350	8526
810	36394	8481
811	36435	8435
812	36476	8389
813	36513	8343
814	36552	8297
815	36597	8252
816	36637	8206
817	36676	8160
818	36715	8114
819	36761	8069
820	36808	8025
821	36846	7978
822	36891	7934
823	36939	7890
824	36986	7845
825	37032	7800
826	37079	7756
827	37124	7711
828	37164	7665
829	37208	7620
830	37250	7575
831	37291	7529
832	37332	7484
833	37376	7439
834	37422	7394
835	37460	7348
836	37505	7303
837	37545	7258
838	37590	7213
839	37635	7168
840	37676	7123
841	37720	7078
842	37757	7031
843	37803	6987
844	37841	6941
845	37886	6896
846	37925	6850
847	37969	6805
848	38011	6760
849	38056	6715
850	38097	6670
851	38137	6624
852	38177	6579
853	38217	6533
854	38260	6488
855	38303	6443
856	38345	6398
857	38386	6353
858	38426	6307
859	38465	6261
860	38511	6217
861	38556	6172
862	38597	6127
863	38638	6081
864	38687	6037
865	38743	5995
866	38788	5950
867	38834	5905
868	38873	5860
869	38920	5815
870	38974	5772
871	39025	5728
872	39079	5685
873	39128	5640
874	39171	5595
875	39220	5551
876	39264	5506
877	39302	5461
878	39345	5416
879	39393	5371
880	39436	5326
881	39483	5282
882	39530	5237
883	39570	5192
884	39613	5147
885	39661	5103
886	39701	5057
887	39744	5012
888	39790	4968
889	39835	4923
890	39878	4878
891	39924	4833
892	39974	4789
893	40014	4744
894	40054	4699
895	40099	4654
896	40145	4609
897	40207	4566
898	40253	4522
899	40307	4478
900	40354	4434
901	40408	4390
902	40456	4345
903	40506	4301
904	40557	4257
905	40608	4213
906	40653	4168
907	40694	4123
908	40740	4078
909	40789	4034
910	40828	3988
911	40874	3944
912	40922	3899
913	40969	3854
914	41013	3809
915	41060	3765
916	41105	3720
917	41153	3676
918	41203	3631
919	41243	3586
920	41290	3541
921	41335	3496
922	41381	3452
923	41424	3407
924	41466	3362
925	41504	3316
926	41556	3272
927	41600	3227
928	41642	3182
929	41686	3137
930	41725	3092
931	41766	3047
932	41816	3002
933	41857	2957
934	41899	2912
935	41942	2867
936	41985	2822
937	42021	2777
938	42067	2732
939	42110	2687
940	42155	2643
941	42198	2598
942	42237	2553
943	42285	2508
944	42328	2463
945	42367	2418
946	42406	2373
947	42452	2328
948	42490	2283
949	42532	2238
950	42573	2193
951	42615	2148
952	42652	2103
953	42693	2058
954	42739	2013
955	42783	1969
956	42831	1924
957	42885	1880
958	42939	1835
959	42994	1791
960	43054	1747
961	43116	1703
962	43173	1658
963	43218	1613
964	43268	1569
965	43315	1524
966	43367	1479
967	43420	1435
968	43474	1390
969	43531	1346
970	43585	1301
971	43640	1257
972	43695	1212
973	43745	1167
974	43795	1122
975	43848	1078
976	43896	1033
977	43950	988
978	43998	943
979	44046	898
980	44096	854
981	44140	809
982	44177	764
983	44222	719
984	44269	674
985	44315	629
986	44361	584
987	44406	539
988	44451	494
989	44493	449
990	44540	404
991	44580	359
992	44625	314
993	44667	269
994	44709	224
995	44753	179
996	44794	134
997	44838	89
998	44884	44
999	44934	0
