iter	RMSE
160	0.5485184575
161	0.547790634
162	0.5469234065
163	0.5457543779
164	0.5450323599
165	0.5439315253
166	0.5433486811
167	0.5424529092
168	0.5417003706
169	0.5411431442
170	0.5404023315
171	0.5399530153
172	0.5391019946
173	0.5383744639
174	0.537602817
175	0.5370018773
176	0.5364752295
177	0.5358106804
178	0.535107055
179	0.5342012644
180	0.5334683239
181	0.5328316266
182	0.5323056282
183	0.5317876085
184	0.5311795487
185	0.5306503035
186	0.5299985215
187	0.5295037866
188	0.529031784
189	0.5281434795
190	0.5274413536
191	0.5268215622
192	0.5259269952
193	0.5251731624
194	0.5247766204
195	0.5237413232
196	0.5234819866
197	0.5228304372
198	0.5223205345
199	0.5216962682
200	0.5210961229
201	0.5204752482
202	0.5194228634
203	0.5187443616
204	0.5184171679
205	0.5179400056
206	0.5174281591
207	0.5168599655
208	0.5165413114
209	0.5159032541
210	0.5150888575
211	0.514564218
212	0.513896848
213	0.5133770552
214	0.5128025124
215	0.5123330712
216	0.5117346444
217	0.5113194623
218	0.510743782
219	0.51028449
220	0.5096974418
221	0.5093840176
222	0.5088034821
223	0.5082319923
224	0.5075788291
225	0.5073549548
226	0.5070142742
227	0.5064701126
228	0.506084294
229	0.5055824295
230	0.5050203268
231	0.5045547242
232	0.5040038625
233	0.503155665
234	0.5025671993
235	0.5020295076
236	0.5014653483
237	0.5010948786
238	0.5005552474
239	0.5000320693
240	0.4996330534
241	0.4991684377
242	0.4986493204
243	0.4982905177
244	0.4979142261
245	0.4974396541
246	0.4970770258
247	0.4965109794
248	0.4961144328
249	0.4957033618
250	0.4954000504
251	0.4949546308
252	0.4944705746
253	0.4940813662
254	0.4937814139
255	0.4932014473
256	0.4928039019
257	0.4923672942
258	0.4919988485
259	0.4915932193
260	0.4912114831
261	0.4907768514
262	0.490369494
263	0.4898631994
264	0.4893772105
265	0.4889288402
266	0.4886416432
267	0.488184196
268	0.4876784836
269	0.4872880069
270	0.4870748793
271	0.4867798487
272	0.4864287458
273	0.4860247405
274	0.485594817
275	0.4853534346
276	0.4850267145
277	0.4846602597
278	0.4843292624
279	0.4840960116
280	0.4837562765
281	0.4833863298
282	0.4830058993
283	0.4826906235
284	0.4824358831
285	0.4820775561
286	0.481697224
287	0.4811950013
288	0.4808474975
289	0.480494077
290	0.4800217317
291	0.4796822674
292	0.479400275
293	0.4790450623
294	0.4786522283
295	0.4783398413
296	0.4779544575
297	0.4775798748
298	0.4772798791
299	0.4769511844
300	0.4767799427
301	0.4764658616
302	0.4761551612
303	0.4758364514
304	0.4755348144
305	0.475321379
306	0.4750116672
307	0.4746465091
308	0.4742839826
309	0.4740040411
310	0.473410327
311	0.4732637101
312	0.47296769
313	0.47270605
314	0.4723816463
315	0.4721314317
316	0.4718374757
317	0.47164817
318	0.471440174
319	0.4710540846
320	0.4707776538
321	0.4704581568
322	0.4702836095
323	0.4701357331
324	0.469831855
325	0.4695634304
326	0.4693062744
327	0.4691306598
328	0.468764009
329	0.4686404263
330	0.4683105664
331	0.4680408893
332	0.4675417464
333	0.4673280932
334	0.4670680545
335	0.4667035119
336	0.4664961801
337	0.4662054401
338	0.4659771549
339	0.4657539185
340	0.4654911251
341	0.4652288694
342	0.4647789382
343	0.4642958068
344	0.4639876071
345	0.4636592951
346	0.463450782
347	0.4630330378
348	0.4626551937
349	0.4623314765
350	0.4620602604
351	0.4617990394
352	0.461471474
353	0.4611041741
354	0.460861057
355	0.4606012075
356	0.4603079537
357	0.4599819206
358	0.4595828657
359	0.4593354715
360	0.4591173399
361	0.4588642392
362	0.4584309772
363	0.4580647499
364	0.4577569154
365	0.457392155
366	0.457180922
367	0.4569400565
368	0.4567512099
369	0.4565758538
370	0.4564023095
371	0.4561645251
372	0.4558933503
373	0.4556053296
374	0.4554429003
375	0.4550657842
376	0.4547336776
377	0.4544157742
378	0.4542296884
379	0.4540035231
380	0.4537277294
381	0.453371963
382	0.4530208261
383	0.4527364632
384	0.4523450807
385	0.4521310833
386	0.4518724485
387	0.4517459159
388	0.4514316701
389	0.451129874
390	0.4509185476
391	0.4507473643
392	0.4505286005
393	0.4502848927
394	0.4500034411
395	0.449783791
396	0.4495888059
397	0.4492684411
398	0.4491167575
399	0.4487817584
400	0.4484046927
401	0.4482304389
402	0.4480689861
403	0.4478073563
404	0.4475314916
405	0.4473167695
406	0.4471092585
407	0.4468711573
408	0.4466792672
409	0.4464708788
410	0.4461955525
411	0.4458305219
412	0.4456167496
413	0.4454722915
414	0.4452965829
415	0.4449795689
416	0.4447267284
417	0.4445594539
418	0.4443641933
419	0.4441670082
420	0.4439529702
421	0.4437191245
422	0.4435862845
423	0.4433833069
424	0.4431698251
425	0.4429800812
426	0.4427920477
427	0.4425560056
428	0.4422395337
429	0.4420132054
430	0.4418096606
431	0.4416184787
432	0.4414359971
433	0.4412104927
434	0.4410224841
435	0.4408109996
436	0.4406068077
437	0.4403951288
438	0.4402068983
439	0.4399024425
440	0.4397258351
441	0.4395109447
442	0.439285719
443	0.4391367652
444	0.4388543023
445	0.4386960284
446	0.4385171577
447	0.4382525575
448	0.4380963103
449	0.4379137457
450	0.4376751449
451	0.4373990019
452	0.4371241064
453	0.4368967652
454	0.4367394583
455	0.4366308185
456	0.436432942
457	0.4362599418
458	0.4360858018
459	0.4358938975
460	0.4356830551
461	0.435500505
462	0.4352902842
463	0.435158351
464	0.4349505063
465	0.4347997443
466	0.4346730386
467	0.434461496
468	0.4341950565
469	0.4339824231
470	0.4338499268
471	0.4336364915
472	0.4334418761
473	0.4332939325
474	0.4330944667
475	0.432891293
476	0.4326841717
477	0.432485586
478	0.4323130149
479	0.4320593142
480	0.4318983057
481	0.4317115153
482	0.4315437206
483	0.4312786668
484	0.4311068264
485	0.4309775431
486	0.4307741305
487	0.4306432186
488	0.4304723616
489	0.4302981326
490	0.4301387866
491	0.4299697756
492	0.429830557
493	0.4297003432
494	0.4295548185
495	0.4293619456
496	0.4291369198
497	0.4288538629
498	0.4285119598
499	0.4283542222
500	0.4281786672
501	0.4280258751
502	0.4278078892
503	0.4275672836
504	0.4274675909
505	0.4272534077
506	0.4269897776
507	0.4268065204
508	0.426641169
509	0.4264692543
510	0.426265053
511	0.4260575021
512	0.4259133174
513	0.4258128515
514	0.4256641515
515	0.4255182159
516	0.425378321
517	0.4252806543
518	0.4251116323
519	0.4249504976
520	0.4248086627
521	0.4246147872
522	0.4244776359
523	0.4243532357
524	0.424206702
525	0.4240412075
526	0.4238490235
527	0.4235376344
528	0.4234009861
529	0.4232423662
530	0.4230512319
531	0.4229012562
532	0.4226922043
533	0.4225233016
534	0.4223182019
535	0.4221445925
536	0.4219754318
537	0.4218806183
538	0.4216773791
539	0.4213379925
540	0.4211739004
541	0.4209971412
542	0.420898698
543	0.4207775789
544	0.4206247391
545	0.4205106598
546	0.420404056
547	0.4202493217
548	0.4201092949
549	0.4198687331
550	0.4196701242
551	0.4195124632
552	0.4194007369
553	0.4192586804
554	0.4191618267
555	0.4189617346
556	0.4188185772
557	0.4186537957
558	0.4185104754
559	0.4183919272
560	0.4182378524
561	0.4180880784
562	0.4179750898
563	0.4178501192
564	0.4176626161
565	0.4174444054
566	0.4173002177
567	0.4171973037
568	0.4169765104
569	0.4168525826
570	0.4166950931
571	0.4165527242
572	0.4163744186
573	0.4161964349
574	0.4160330515
575	0.4159091843
576	0.4157684467
577	0.4155390972
578	0.4154317076
579	0.415264145
580	0.4151001633
581	0.4148689698
582	0.4147062485
583	0.4145769517
584	0.4142812644
585	0.4141272643
586	0.4139484256
587	0.4138432676
588	0.4137661658
589	0.4136492324
590	0.4135243507
591	0.4133561022
592	0.4132169201
593	0.4131049925
594	0.4129666506
595	0.4127880308
596	0.4125452996
597	0.4122792255
598	0.4120641114
599	0.4119877185
600	0.4118700715
601	0.4117302721
602	0.4116289774
603	0.4114642866
604	0.4112513153
605	0.4109950058
606	0.4109006321
607	0.4107720855
608	0.4106517507
609	0.4105109373
610	0.4103776718
611	0.4102122283
612	0.4101135598
613	0.4099712204
614	0.4098069403
615	0.4096914653
616	0.4094644174
617	0.4093607963
618	0.4092668224
619	0.4091077113
620	0.4089672474
621	0.4088561139
622	0.4087300734
623	0.408623668
624	0.4084684264
625	0.408354687
626	0.4082403103
627	0.4081077848
628	0.4080235393
629	0.4078942035
630	0.407763304
631	0.4076507198
632	0.4075357467
633	0.4074119316
634	0.4072760119
635	0.4071505815
636	0.4070165462
637	0.4068824336
638	0.4067495712
639	0.4066245806
640	0.406530464
641	0.4064027148
642	0.4062992502
643	0.4061753063
644	0.4060489997
645	0.4057978264
646	0.405691769
647	0.405517826
648	0.4052916548
649	0.4051564281
650	0.4049669735
651	0.4048196026
652	0.4047236625
653	0.404566838
654	0.4044572645
655	0.404290971
656	0.4042051378
657	0.4040699123
658	0.4039599412
659	0.4038274977
660	0.4036650067
661	0.4035531898
662	0.4034416669
663	0.4033288868
664	0.4031825387
665	0.403063468
666	0.4029489392
667	0.4027996528
668	0.4026488468
669	0.4025341242
670	0.4024193744
671	0.4023423354
672	0.4021919821
673	0.4020723556
674	0.4019598202
675	0.4018571007
676	0.4017727144
677	0.4016421974
678	0.4015255884
679	0.4014085449
680	0.4012777756
681	0.4010877476
682	0.4009662839
683	0.4008677698
684	0.4007713381
685	0.4006364075
686	0.4004976271
687	0.4003516724
688	0.4002013572
689	0.400103633
690	0.399974304
691	0.3998961262
692	0.399819224
693	0.3996443647
694	0.3995140753
695	0.3994013499
696	0.3992694149
697	0.3991899652
698	0.398990393
699	0.3988420285
700	0.398741122
701	0.3986196766
702	0.3984533253
703	0.3983359555
704	0.3982246595
705	0.3980574663
706	0.3979690733
707	0.3978396698
708	0.3977276711
709	0.3975943793
710	0.3974894963
711	0.3973946884
712	0.3972502037
713	0.3971693917
714	0.3969960949
715	0.3969263851
716	0.3968025344
717	0.3967071626
718	0.3965892274
719	0.3964714185
720	0.3963316004
721	0.3961288481
722	0.3960033928
723	0.395898133
724	0.395786375
725	0.3956457886
726	0.3955415483
727	0.3954509668
728	0.3953142762
729	0.3952159366
730	0.3950985842
731	0.3949916158
732	0.3948954257
733	0.3947849101
734	0.3946867685
735	0.3945355045
736	0.3943555303
737	0.3942225117
738	0.3941351909
739	0.3940322379
740	0.3939119175
741	0.3938413907
742	0.3937506632
743	0.3936386995
744	0.3935166155
745	0.393411115
746	0.3933463011
747	0.393278452
748	0.3931501274
749	0.3930070285
750	0.3928872355
751	0.3927771841
752	0.3926903817
753	0.3925850803
754	0.3924804027
755	0.3923875068
756	0.3922707002
757	0.3921391666
758	0.3920372984
759	0.3919071708
760	0.3918236182
761	0.3917390301
762	0.3916612076
763	0.3914925632
764	0.3913806593
765	0.3912956388
766	0.3911890185
767	0.3910327746
768	0.3909050242
769	0.3907966168
770	0.3906579612
771	0.3905552623
772	0.3904160841
773	0.3903204245
774	0.3901890641
775	0.3901203002
776	0.3899303337
777	0.3898125439
778	0.3896990585
779	0.389646531
780	0.3895597226
781	0.3894785674
782	0.3893482826
783	0.3892016983
784	0.389093933
785	0.3889763073
786	0.3888892312
787	0.3888361029
788	0.3887397973
789	0.3885979896
790	0.3884735953
791	0.3882979251
792	0.3882102193
793	0.3880960728
794	0.3879774964
795	0.3878754147
796	0.3877721566
797	0.3876887141
798	0.3876144845
799	0.3875287907
800	0.3874460357
801	0.3872685106
802	0.3872096998
803	0.3871130219
804	0.3869754191
805	0.3869026663
806	0.3868357
807	0.3867610829
808	0.3866481979
809	0.3865329777
810	0.3864551903
811	0.3863632145
812	0.386272595
813	0.3862068223
814	0.3861200582
815	0.3859739931
816	0.3858600383
817	0.3857910678
818	0.3857187301
819	0.3856106855
820	0.3854985239
821	0.3854192205
822	0.3853133752
823	0.3852019272
824	0.3851316137
825	0.3850469001
826	0.3849675246
827	0.3848585006
828	0.3847699129
829	0.3846665897
830	0.3845637912
831	0.3844894638
832	0.3844011127
833	0.3843031879
834	0.3841852087
835	0.3841230983
836	0.3840085559
837	0.3838911358
838	0.3837967572
839	0.3836636145
840	0.3836019663
841	0.3834759901
842	0.3834054733
843	0.3833389712
844	0.3832572151
845	0.383144741
846	0.3830778655
847	0.3829944893
848	0.3828989039
849	0.3827973409
850	0.3826860052
851	0.3825870473
852	0.38248612
853	0.3823932016
854	0.3823011356
855	0.382188829
856	0.382070093
857	0.3819837514
858	0.3819072623
859	0.3818205507
860	0.3816770335
861	0.3815771205
862	0.3815080495
863	0.38140472
864	0.3812927016
865	0.3811950243
866	0.3811193949
867	0.3810190017
868	0.3809419203
869	0.3808506519
870	0.3807743463
871	0.3806723167
872	0.380572672
873	0.3804504525
874	0.3803687792
875	0.3802252077
876	0.3801157105
877	0.3800617241
878	0.3799905645
879	0.3798918759
880	0.3797236661
881	0.3796240945
882	0.3795043643
883	0.3794075187
884	0.3793296583
885	0.3792129362
886	0.3790972346
887	0.3790167681
888	0.3789450197
889	0.3788905232
890	0.3788186
891	0.3787055625
892	0.37855134
893	0.3784682505
894	0.3784027691
895	0.3783158618
896	0.3781750961
897	0.378087482
898	0.3779798131
899	0.3779122519
900	0.3778426212
901	0.3777607958
902	0.3776808534
903	0.3776178409
904	0.3775136247
905	0.3774064847
906	0.3772759772
907	0.3771994801
908	0.3770894766
909	0.3769669917
910	0.3768775589
911	0.3767746367
912	0.3767199319
913	0.3766676605
914	0.3765859794
915	0.3765045949
916	0.3763571981
917	0.3762828757
918	0.3762122675
919	0.3761114553
920	0.3760252436
921	0.375957956
922	0.3758889281
923	0.3758263096
924	0.3757613413
925	0.3757083974
926	0.3756343155
927	0.375552956
928	0.3754716104
929	0.375399941
930	0.3753122341
931	0.3752424991
932	0.375164178
933	0.3750542884
934	0.3749835216
935	0.3748991647
936	0.3748163989
937	0.3747505549
938	0.3746382405
939	0.3745706594
940	0.3744919716
941	0.3744479109
942	0.3743575577
943	0.3742657528
944	0.3742020998
945	0.3741317469
946	0.374051643
947	0.3739878322
948	0.3738985616
949	0.3737936054
950	0.3737152245
951	0.3735884626
952	0.3735182896
953	0.3734017418
954	0.373328578
955	0.3732663574
956	0.373182726
957	0.3730827875
958	0.3729817203
959	0.3729062762
960	0.3728443815
961	0.3727572455
962	0.372679725
963	0.3726168473
964	0.3725709928
965	0.3724470866
966	0.3723526418
967	0.3722409748
968	0.3721670019
969	0.3720263282
970	0.3719504092
971	0.3718631589
972	0.3717384644
973	0.3716703099
974	0.37158541
975	0.3714717469
976	0.371400491
977	0.3713239033
978	0.3712620083
979	0.3711541778
980	0.3710774722
981	0.3709935596
982	0.370943979
983	0.3708883797
984	0.3708266242
985	0.3707124211
986	0.3706117095
987	0.3705459468
988	0.370468571
989	0.3703886167
990	0.3702940624
991	0.3702213165
992	0.3701363858
993	0.3700700726
994	0.3699709909
995	0.3698791943
996	0.3698049339
997	0.3697018563
998	0.3696372958
999	0.3695145337
